"Date","Open","High","Low","Close","Adj Close","Volume"
"Oct 25, 2021",35692.62,35787.04,35629.37,35735.58,35735.58,192083389
"Oct 01, 2021",33930.7,35765.02,33785.54,35677.02,35677.02,5029540000
"Sep 01, 2021",35387.55,35475.4,33613.03,33843.92,33843.92,6603470000
"Aug 01, 2021",34968.56,35631.19,34690.25,35360.73,35360.73,5625700000
"Jul 01, 2021",34507.32,35171.52,33741.76,34935.47,34935.47,6646570000
"Jun 01, 2021",34584.19,34849.32,33271.93,34502.51,34502.51,6739760000
"May 01, 2021",33904.89,35091.56,33473.8,34529.45,34529.45,6543360000
"Apr 01, 2021",33054.58,34256.75,32985.35,33874.85,33874.85,6810740000
"Mar 01, 2021",31065.9,33259,30547.53,32981.55,32981.55,9687630000
"Feb 01, 2021",30054.73,32009.64,30014.97,30932.37,30932.37,6713920000
"Jan 01, 2021",30627.47,31272.22,29856.3,29982.62,29982.62,8168770000
"Dec 01, 2020",29797.5,30637.47,29599.29,30606.48,30606.48,8098310000
"Nov 01, 2020",26691.28,30116.51,26691.28,29638.64,29638.64,7872380000
"Oct 01, 2020",27940.63,28957.9,26143.77,26501.6,26501.6,8439930000
"Sep 01, 2020",28439.61,29199.35,26537.01,27781.7,27781.7,9973920000
"Aug 01, 2020",26542.32,28733.35,26534.38,28430.05,28430.05,7452360000
"Jul 01, 2020",25879.38,27071.33,25523.51,26428.32,26428.32,8210370000
"Jun 01, 2020",25342.99,27580.21,24843.18,25812.88,25812.88,9710480000
"May 01, 2020",24120.78,25758.79,22789.62,25383.11,25383.11,7940630000
"Apr 01, 2020",21227.38,24764.77,20735.02,24345.72,24345.72,9805160000
"Mar 01, 2020",25590.51,27102.34,18213.65,21917.16,21917.16,15521140000
"Feb 01, 2020",28319.65,29568.57,24681.01,25409.36,25409.36,6991990000
"Jan 01, 2020",28638.97,29373.62,28169.53,28256.03,28256.03,6170770000
"Dec 01, 2019",28109.74,28701.66,27325.13,28538.44,28538.44,5086880000
"Nov 01, 2019",27142.95,28174.97,27142.95,28051.41,28051.41,4925180000
"Oct 01, 2019",26962.54,27204.36,25743.46,27046.23,27046.23,5660960000
"Sep 01, 2019",26198.26,27306.73,25978.22,26916.83,26916.83,5045520000
"Aug 01, 2019",26879.86,27175.59,25339.6,26403.28,26403.28,6196080000
"Jul 01, 2019",26805.86,27398.68,26616.21,26864.27,26864.27,5207470000
"Jun 01, 2019",24830.16,26907.37,24680.57,26599.96,26599.96,5544390000
"May 01, 2019",26639.06,26689.39,24809.51,24815.04,24815.04,6358230000
"Apr 01, 2019",26075.1,26695.96,26062.59,26592.91,26592.91,5854600000
"Mar 01, 2019",26019.67,26155.98,25208,25928.68,25928.68,6637700000
"Feb 01, 2019",25025.31,26241.42,24883.04,25916,25916,5434540000
"Jan 01, 2019",23058.61,25109.62,22638.41,24999.67,24999.67,7189200000
"Dec 01, 2018",25779.57,25980.21,21712.53,23327.46,23327.46,8101540000
"Nov 01, 2018",25142.08,26277.82,24268.74,25538.46,25538.46,7226940000
"Oct 01, 2018",26598.36,26951.81,24122.23,25115.76,25115.76,8373350000
"Sep 01, 2018",25916.07,26769.16,25754.32,26458.31,26458.31,5262500000
"Aug 01, 2018",25461.63,26167.94,24965.77,25964.82,25964.82,5635410000
"Jul 01, 2018",24161.53,25587.24,24077.56,25415.19,25415.19,5408500000
"Jun 01, 2018",24542.09,25402.83,23997.21,24271.41,24271.41,7411110000
"May 01, 2018",24117.29,25086.49,23531.31,24415.84,24415.84,7278020000
"Apr 01, 2018",24076.6,24858.97,23344.52,24163.15,24163.15,8064550000
"Mar 01, 2018",25024.04,25449.15,23509.06,24103.11,24103.11,8873040000
"Feb 01, 2018",26083.04,26306.7,23360.29,25029.2,25029.2,9450250000
"Jan 01, 2018",24809.35,26616.71,24741.7,26149.39,26149.39,9116920000
"Dec 01, 2017",24305.4,24876.07,23921.9,24719.22,24719.22,6589890000
"Nov 01, 2017",23442.9,24327.82,23242.75,24272.35,24272.35,7335640000
"Oct 01, 2017",22423.47,23485.25,22416,23377.24,23377.24,7302910000
"Sep 01, 2017",21981.77,22419.51,21709.63,22405.09,22405.09,6342130000
"Aug 01, 2017",21961.42,22179.11,21600.34,21948.1,21948.1,6150060000
"Jul 01, 2017",21392.3,21929.8,21279.3,21891.12,21891.12,5569720000
"Jun 01, 2017",21030.55,21535.03,20994.22,21349.63,21349.63,7214590000
"May 01, 2017",20962.73,21112.32,20553.45,21008.65,21008.65,6613570000
"Apr 01, 2017",20665.17,21070.9,20379.55,20940.51,20940.51,5392630000
"Mar 01, 2017",20957.29,21169.11,20412.8,20663.22,20663.22,6941970000
"Feb 01, 2017",19923.81,20851.33,19831.09,20812.24,20812.24,6185580000
