"DATE","DRSRET100S(%)"
"2000-01-01",1.98
"2000-04-01",1.97
"2000-07-01",2.06
"2000-10-01",2.14
"2001-01-01",2.21
"2001-04-01",2.33
"2001-07-01",2.27
"2001-10-01",2.28
"2002-01-01",2.25
"2002-04-01",2.15
"2002-07-01",2.06
"2002-10-01",1.92
"2003-01-01",1.91
"2003-04-01",1.8
"2003-07-01",1.68
"2003-10-01",1.68
"2004-01-01",1.53
"2004-04-01",1.5
"2004-07-01",1.45
"2004-10-01",1.32
"2005-01-01",1.35
"2005-04-01",1.42
"2005-07-01",1.45
"2005-10-01",1.51
"2006-01-01",1.4
"2006-04-01",1.43
"2006-07-01",1.56
"2006-10-01",1.78
"2007-01-01",1.88
"2007-04-01",2.08
"2007-07-01",2.49
"2007-10-01",3.01
"2008-01-01",3.7
"2008-04-01",4.41
"2008-07-01",5.29
"2008-10-01",6.52
"2009-01-01",8.04
"2009-04-01",8.91
"2009-07-01",9.93
"2009-10-01",10.64
"2010-01-01",11.79
"2010-04-01",11.4
"2010-07-01",10.89
"2010-10-01",10.37
"2011-01-01",10.33
"2011-04-01",10.19
"2011-07-01",10.01
"2011-10-01",9.86
"2012-01-01",9.49
"2012-04-01",9.49
"2012-07-01",9.47
"2012-10-01",8.87
"2013-01-01",8.56
"2013-04-01",8.02
"2013-07-01",7.26
"2013-10-01",6.93
"2014-01-01",6.36
"2014-04-01",6.01
"2014-07-01",5.7
"2014-10-01",5.21
"2015-01-01",4.91
"2015-04-01",4.56
"2015-07-01",4.17
"2015-10-01",3.87
"2016-01-01",3.63
"2016-04-01",3.45
"2016-07-01",3.23
"2016-10-01",3.17
"2017-01-01",2.85
"2017-04-01",2.73
"2017-07-01",2.74
"2017-10-01",2.68
"2018-01-01",2.57
"2018-04-01",2.39
"2018-07-01",2.21
"2018-10-01",2.1
"2019-01-01",2.02
"2019-04-01",1.9
"2019-07-01",1.76
"2019-10-01",1.7
"2020-01-01",1.75
"2020-04-01",1.96
"2020-07-01",2.19
"2020-10-01",2.22
"2021-01-01",2.19
"2021-04-01",1.99
