Date,HAI
"August 31, 2021",151.3
"July 31, 2021",150.6
"June 30, 2021",146.5
"May 31, 2021",152.3
"April 30, 2021",157.2
"March 31, 2021",180
"February 28, 2021",173.4
"January 31, 2021",187.8
"December 31, 2020",172.5
"November 30, 2020",168.7
"October 31, 2020",167.4
"September 30, 2020",167.2
"August 31, 2020",165.8
"July 31, 2020",170.8
"June 30, 2020",173.3
"May 31, 2020",180
"April 30, 2020",182.7
"March 31, 2020",167.7
"February 29, 2020",175.6
"January 31, 2020",167.7
"December 31, 2019",161.7
"November 30, 2019",163.8
"October 31, 2019",163.6
"September 30, 2019",164.9
"August 31, 2019",160
"July 31, 2019",155.5
"June 30, 2019",152
"May 31, 2019",150.8
"April 30, 2019",153.3
"March 31, 2019",153.4
"February 28, 2019",157.1
"January 31, 2019",153.9
"December 31, 2018",146.6
"November 30, 2018",144.3
"October 31, 2018",147.1
"September 30, 2018",147.5
"August 31, 2018",142.3
"July 31, 2018",140.3
"June 30, 2018",137.7
"May 31, 2018",142.4
"April 30, 2018",147.1
"March 31, 2018",152.3
"February 28, 2018",161.4
"January 31, 2018",164.3
"December 31, 2017",161.2
"November 30, 2017",160.8
"October 31, 2017",162.7
"September 30, 2017",159.9
"August 31, 2017",153.8
"July 31, 2017",151.2
"June 30, 2017",147.8
"May 31, 2017",157.2
"April 30, 2017",159.8
"March 31, 2017",161.5
"February 28, 2017",163.4
"January 31, 2017",164.1
"December 31, 2016",163.1
"November 30, 2016",168.8
"October 31, 2016",170.7
"September 30, 2016",166.4
"August 31, 2016",163.1
"July 31, 2016",159.8
"June 30, 2016",155.3
"May 31, 2016",161.1
"April 30, 2016",164.9
"March 31, 2016",171.2
"February 29, 2016",174.8
"January 31, 2016",171.9
"December 31, 2015",164.2
"November 30, 2015",168.9
"October 31, 2015",168.4
"September 30, 2015",165.2
"August 31, 2015",158.9
"July 31, 2015",153.9
"June 30, 2015",154
"May 31, 2015",160.5
"April 30, 2015",166.5
"March 31, 2015",171.7
"February 28, 2015",180.1
"January 31, 2015",180.9
"December 31, 2014",169.5
"November 30, 2014",169.6
"October 31, 2014",166.5
"September 30, 2014",165.6
"August 31, 2014",158
"July 31, 2014",153.3
