DATE,CSUSHPISA
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.12700000000001
2000-04-01,102.92200000000001
2000-05-01,103.677
2000-06-01,104.42399999999999
2000-07-01,105.054
2000-08-01,105.76799999999999
2000-09-01,106.537
2000-10-01,107.381
2000-11-01,108.29899999999999
2000-12-01,109.13799999999999
2001-01-01,109.845
2001-02-01,110.499
2001-03-01,111.10700000000001
2001-04-01,111.65
2001-05-01,112.162
2001-06-01,112.795
2001-07-01,113.491
2001-08-01,114.167
2001-09-01,114.811
2001-10-01,115.30799999999999
2001-11-01,115.854
2001-12-01,116.45200000000001
2002-01-01,117.14299999999999
2002-02-01,117.845
2002-03-01,118.68799999999999
2002-04-01,119.611
2002-05-01,120.72399999999999
2002-06-01,121.81200000000001
2002-07-01,122.88600000000001
2002-08-01,123.829
2002-09-01,124.77799999999999
2002-10-01,125.73299999999999
2002-11-01,126.66799999999999
2002-12-01,127.62200000000001
2003-01-01,128.46
2003-02-01,129.355
2003-03-01,130.148
2003-04-01,130.885
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.776
2003-08-01,134.967
2003-09-01,136.29399999999998
2003-10-01,137.531
2003-11-01,138.79399999999998
2003-12-01,140.18
2004-01-01,141.64700000000002
2004-02-01,143.19299999999998
2004-03-01,145.06
2004-04-01,146.591
2004-05-01,148.184
2004-06-01,149.849
2004-07-01,151.33700000000002
2004-08-01,152.63299999999998
2004-09-01,154.178
2004-10-01,155.751
2004-11-01,157.528
2004-12-01,159.33
2005-01-01,161.289
2005-02-01,163.344
2005-03-01,165.813
2005-04-01,167.502
2005-05-01,169.352
2005-06-01,171.19
2005-07-01,172.86
2005-08-01,174.442
2005-09-01,176.438
2005-10-01,178.028
2005-11-01,179.68200000000002
2005-12-01,180.91
2006-01-01,182.321
2006-02-01,183.28799999999998
2006-03-01,184.365
2006-04-01,184.329
2006-05-01,184.157
2006-06-01,183.50799999999998
2006-07-01,183.06799999999998
2006-08-01,182.595
2006-09-01,182.8
2006-10-01,183.201
2006-11-01,183.611
2006-12-01,184.141
2007-01-01,184.518
2007-02-01,184.59900000000002
2007-03-01,184.15
2007-04-01,183.011
2007-05-01,181.602
2007-06-01,180.25599999999997
2007-07-01,179.113
2007-08-01,178.12
2007-09-01,177.56099999999998
2007-10-01,176.625
2007-11-01,175.148
2007-12-01,174.343
2008-01-01,173.13400000000001
2008-02-01,171.543
2008-03-01,170.05599999999998
2008-04-01,168.33900000000003
2008-05-01,166.66099999999997
2008-06-01,165.02
2008-07-01,163.571
2008-08-01,161.99200000000002
2008-09-01,160.313
2008-10-01,158.33100000000002
2008-11-01,156.144
2008-12-01,153.618
2009-01-01,151.505
2009-02-01,150.012
2009-03-01,148.658
2009-04-01,147.94899999999998
2009-05-01,147.694
2009-06-01,148.09
2009-07-01,148.41
2009-08-01,148.276
2009-09-01,148.023
2009-10-01,147.849
2009-11-01,148.134
2009-12-01,147.93
2010-01-01,147.394
2010-02-01,145.631
2010-03-01,145.857
2010-04-01,146.399
2010-05-01,146.39
2010-06-01,145.716
2010-07-01,144.988
2010-08-01,143.912
2010-09-01,143.016
2010-10-01,142.528
2010-11-01,142.172
2010-12-01,142.063
2011-01-01,141.528
2011-02-01,140.357
2011-03-01,139.987
2011-04-01,140.012
2011-05-01,139.905
2011-06-01,139.862
2011-07-01,139.731
2011-08-01,139.309
2011-09-01,138.668
2011-10-01,137.951
2011-11-01,137.151
2011-12-01,136.673
2012-01-01,136.606
2012-02-01,136.532
2012-03-01,137.908
2012-04-01,139.159
2012-05-01,140.159
2012-06-01,141.032
2012-07-01,141.66899999999998
2012-08-01,142.279
2012-09-01,142.909
2012-10-01,143.60299999999998
2012-11-01,144.588
2012-12-01,145.504
2013-01-01,146.835
2013-02-01,147.78
2013-03-01,149.96200000000002
2013-04-01,151.52200000000002
2013-05-01,152.858
2013-06-01,154.205
2013-07-01,155.613
2013-08-01,156.977
2013-09-01,158.235
2013-10-01,159.247
2013-11-01,160.076
2013-12-01,160.997
2014-01-01,161.944
2014-02-01,162.53
2014-03-01,163.094
2014-04-01,163.404
2014-05-01,163.671
2014-06-01,164.067
2014-07-01,164.582
2014-08-01,165.22099999999998
2014-09-01,165.91299999999998
2014-10-01,166.649
2014-11-01,167.34099999999998
2014-12-01,168.05900000000003
2015-01-01,168.66299999999998
2015-02-01,169.146
2015-03-01,169.82
2015-04-01,170.31799999999998
2015-05-01,170.898
2015-06-01,171.483
2015-07-01,172.14700000000002
2015-08-01,172.954
2015-09-01,173.84799999999998
2015-10-01,174.81099999999998
2015-11-01,175.755
2015-12-01,176.55599999999998
2016-01-01,177.291
2016-02-01,177.658
2016-03-01,178.18900000000002
2016-04-01,178.804
2016-05-01,179.47299999999998
2016-06-01,180.135
2016-07-01,180.875
2016-08-01,181.893
2016-09-01,182.857
2016-10-01,183.768
2016-11-01,184.753
2016-12-01,185.692
2017-01-01,186.778
2017-02-01,187.294
2017-03-01,188.03
2017-04-01,188.812
2017-05-01,189.72299999999998
2017-06-01,190.62599999999998
2017-07-01,191.546
2017-08-01,192.775
2017-09-01,193.827
2017-10-01,194.801
2017-11-01,195.88099999999997
2017-12-01,197.043
2018-01-01,198.172
2018-02-01,199.13299999999998
2018-03-01,200.03
2018-04-01,200.868
2018-05-01,201.68200000000002
2018-06-01,202.485
2018-07-01,203.097
2018-08-01,203.865
2018-09-01,204.421
2018-10-01,205.025
2018-11-01,205.453
2018-12-01,205.83
2019-01-01,206.213
2019-02-01,206.649
2019-03-01,207.209
2019-04-01,207.928
2019-05-01,208.62599999999998
2019-06-01,209.112
2019-07-01,209.63299999999998
2019-08-01,210.357
2019-09-01,210.998
2019-10-01,211.606
2019-11-01,212.43
2019-12-01,213.372
2020-01-01,214.41
2020-02-01,215.47400000000002
2020-03-01,216.632
2020-04-01,217.495
2020-05-01,217.801
2020-06-01,218.36
2020-07-01,219.915
2020-08-01,222.704
2020-09-01,225.908
2020-10-01,229.41
2020-11-01,232.643
2020-12-01,235.604
2021-01-01,238.57299999999998
2021-02-01,241.649
2021-03-01,245.72799999999998
2021-04-01,250.045
2021-05-01,254.62599999999998
2021-06-01,259.298
2021-07-01,263.305
