"DATE","FDI(million)"
"2000-01-01",13764
"2000-04-01",14455
"2000-07-01",11374
"2000-10-01",8327
"2001-01-01",5149
"2001-04-01",3227
"2001-07-01",5530
"2001-10-01",-9988
"2002-01-01",5347
"2002-04-01",11591
"2002-07-01",11862
"2002-10-01",3498
"2003-01-01",14840
"2003-04-01",14578
"2003-07-01",16797
"2003-10-01",14749
"2004-01-01",17553
"2004-04-01",25186
"2004-07-01",22748
"2004-10-01",22403
"2005-01-01",25378
"2005-04-01",28241
"2005-07-01",24148
"2005-10-01",32558
"2006-01-01",31339
"2006-04-01",37817
"2006-07-01",40327
"2006-10-01",35272
"2007-01-01",33833
"2007-04-01",37327
"2007-07-01",29654
"2007-10-01",20147
"2008-01-01",31718
"2008-04-01",38771
"2008-07-01",29058
"2008-10-01",26175
"2009-01-01",13199
"2009-04-01",25058
"2009-07-01",25368
"2009-10-01",34366
"2010-01-01",30539
"2010-04-01",35994
"2010-07-01",38404
"2010-10-01",40152
"2011-01-01",39368
"2011-04-01",46165
"2011-07-01",43580
"2011-10-01",36855
"2012-01-01",39347
"2012-04-01",39354
"2012-07-01",42695
"2012-10-01",38932
"2013-01-01",40568
"2013-04-01",42779
"2013-07-01",41796
"2013-10-01",43092
"2014-01-01",38971
"2014-04-01",45662
"2014-07-01",45196
"2014-10-01",47465
"2015-01-01",34555
"2015-04-01",42723
"2015-07-01",43163
"2015-10-01",29484
"2016-01-01",31187
"2016-04-01",38558
"2016-07-01",38943
"2016-10-01",32914
"2017-01-01",36272
"2017-04-01",43589
"2017-07-01",45681
"2017-10-01",51091
"2018-01-01",43048
"2018-04-01",53911
"2018-07-01",54508
"2018-10-01",52221
"2019-01-01",47037
"2019-04-01",50751
"2019-07-01",49156
"2019-10-01",53080
"2020-01-01",32651
"2020-04-01",27376
"2020-07-01",44326
"2020-10-01",47457
"2021-01-01",54982
"2021-04-01",66844
