"Date","Inflation Value"
"September 30, 2021","5.39% "
"August 31, 2021","5.25% "
"July 31, 2021","5.37% "
"June 30, 2021","5.39% "
"May 31, 2021","4.99% "
"April 30, 2021","4.16% "
"March 31, 2021","2.62% "
"February 28, 2021","1.68% "
"January 31, 2021","1.40% "
"December 31, 2020","1.36% "
"November 30, 2020","1.17% "
"October 31, 2020","1.18% "
"September 30, 2020","1.37% "
"August 31, 2020","1.31% "
"July 31, 2020","0.99% "
"June 30, 2020","0.65% "
"May 31, 2020","0.12% "
"April 30, 2020","0.33% "
"March 31, 2020","1.54% "
"February 29, 2020","2.33% "
"January 31, 2020","2.49% "
"December 31, 2019","2.29% "
"November 30, 2019","2.05% "
"October 31, 2019","1.76% "
"September 30, 2019","1.71% "
"August 31, 2019","1.75% "
"July 31, 2019","1.81% "
"June 30, 2019","1.65% "
"May 31, 2019","1.79% "
"April 30, 2019","2.00% "
"March 31, 2019","1.86% "
"February 28, 2019","1.52% "
"January 31, 2019","1.55% "
"December 31, 2018","1.91% "
"November 30, 2018","2.18% "
"October 31, 2018","2.52% "
"September 30, 2018","2.28% "
"August 31, 2018","2.70% "
"July 31, 2018","2.95% "
"June 30, 2018","2.87% "
"May 31, 2018","2.80% "
"April 30, 2018","2.46% "
"March 31, 2018","2.36% "
"February 28, 2018","2.21% "
"January 31, 2018","2.07% "
"December 31, 2017","2.11% "
"November 30, 2017","2.20% "
"October 31, 2017","2.04% "
"September 30, 2017","2.23% "
"August 31, 2017","1.94%"
"July 31, 2017","1.73% "
"June 30, 2017","1.63% "
"May 31, 2017","1.87% "
"April 30, 2017","2.20% "
"March 31, 2017","2.38% "
"February 28, 2017","2.74% "
"January 31, 2017","2.50% "
"December 31, 2016","2.07% "
"November 30, 2016","1.69% "
"October 31, 2016","1.64% "
"September 30, 2016","1.46% "
"August 31, 2016","1.06% "
"July 31, 2016","0.83% "
"June 30, 2016","1.00% "
"May 31, 2016","1.02% "
"April 30, 2016","1.13% "
"March 31, 2016","0.85% "
"February 29, 2016","1.02% "
"January 31, 2016","1.37% "
"December 31, 2015","0.73% "
"November 30, 2015","0.50% "
"October 31, 2015","0.17% "
"September 30, 2015","-0.04% "
"August 31, 2015","0.20% "
"July 31, 2015","0.17% "
"June 30, 2015","0.12% "
"May 31, 2015","-0.04% "
"April 30, 2015","-0.20% "
"March 31, 2015","-0.07% "
"February 28, 2015","-0.03% "
"January 31, 2015","-0.09% "
"December 31, 2014","0.76% "
"November 30, 2014","1.32% "
"October 31, 2014","1.66% "
"September 30, 2014","1.66% "
"August 31, 2014","1.70% "
"July 31, 2014","1.99% "
"June 30, 2014","2.07% "
"May 31, 2014","2.13% "
"April 30, 2014","1.95% "
"March 31, 2014","1.51% "
"February 28, 2014","1.13% "
"January 31, 2014","1.58% "
"December 31, 2013","1.50% "
"November 30, 2013","1.24% "
"October 31, 2013","0.96% "
"September 30, 2013","1.18% "
"August 31, 2013","1.52% "
"July 31, 2013","1.96% "
"June 30, 2013","1.75% "
"May 31, 2013","1.36% "
"April 30, 2013","1.06% "
"March 31, 2013","1.47% "
"February 28, 2013","1.98% "
"January 31, 2013","1.59% "
"December 31, 2012","1.74% "
"November 30, 2012","1.76% "
"October 31, 2012","2.16% "
"September 30, 2012","1.99% "
"August 31, 2012","1.69% "
"July 31, 2012","1.41% "
"June 30, 2012","1.66% "
"May 31, 2012","1.70% "
"April 30, 2012","2.30% "
"March 31, 2012","2.65% "
"February 29, 2012","2.87% "
"January 31, 2012","2.93% "
"December 31, 2011","2.96% "
"November 30, 2011","3.39% "
"October 31, 2011","3.53% "
"September 30, 2011","3.87% "
"August 31, 2011","3.77% "
"July 31, 2011","3.63% "
"June 30, 2011","3.56% "
"May 31, 2011","3.57% "
"April 30, 2011","3.16% "
"March 31, 2011","2.68% "
"February 28, 2011","2.11% "
"January 31, 2011","1.63% "
"December 31, 2010","1.50% "
"November 30, 2010","1.14% "
"October 31, 2010","1.17% "
"September 30, 2010","1.14% "
"August 31, 2010","1.15% "
"July 31, 2010","1.24% "
"June 30, 2010","1.05% "
"May 31, 2010","2.02% "
